caldt,mkt,ewmkt
1925-12-31,,
1926-01-02,0.00568922,0.00951587
1926-01-04,0.000706491,0.00578044
1926-01-05,-0.0048213,-0.00192703
1926-01-06,-0.000423291,0.00118162
1926-01-07,0.00498825,0.00845311
1926-01-08,-0.00323785,-0.00168898
1926-01-09,0.00220932,0.00331206
1926-01-11,-0.00853961,-0.00994319
1926-01-12,-0.000928955,-0.00362314
1926-01-13,0.00370019,0.00757566
1926-01-14,-0.00503378,-0.00284679
1926-01-15,-0.0126881,-0.0130907
1926-01-16,-0.00122447,-0.00154352
1926-01-18,0.00524448,0.00601842
1926-01-19,-0.0109834,-0.01135
1926-01-20,0.00405884,-0.00137578
1926-01-21,-0.00706236,-0.00377213
1926-01-22,0.00502875,0.00228067
1926-01-23,0.00565715,0.00698745
1926-01-25,0.00472349,0.00672593
1926-01-26,-0.00538402,-0.0057489
1926-01-27,0.00716967,0.00528036
1926-01-28,0.00380099,0.00778554
1926-01-29,0.00820359,0.00868651
1926-01-30,0.000686867,0.0045325
1926-02-01,-0.00286416,-0.00247255
1926-02-02,0.00533363,0.00441641
1926-02-03,0.00524342,0.00572783
1926-02-04,0.0051197,0.00481759
1926-02-05,-0.000215177,0.00215538
1926-02-06,0.000576533,0.00186361
1926-02-08,-0.00672581,-0.00735545
1926-02-09,0.00566974,0.00839071
1926-02-10,0.00074048,-0.00141464
1926-02-11,0.00089502,0.00011766
1926-02-13,-0.00113721,-0.00278675
1926-02-15,-0.0196591,-0.0231887
1926-02-16,0.00338161,0.00160206
1926-02-17,0.00518642,0.00331898
1926-02-18,0.00203302,0.00351407
1926-02-19,0.000291158,-0.00334826
1926-02-20,-0.00111516,-0.000377696
1926-02-23,-0.00921844,-0.00986551
1926-02-24,-0.00430363,-0.00717079
1926-02-25,-0.0104654,-0.0117287
1926-02-26,-0.0133642,-0.0171755
1926-02-27,0.000758428,0.000943309
1926-03-01,-0.0132768,-0.0147116
1926-03-02,-0.025525,-0.02797
1926-03-03,-0.0185905,-0.0262679
1926-03-04,0.0414029,0.0432544
